invoice_item_id,invoice_no,category_id,quantity,price
502,I212305,3,1,15.15
503,I111228,1,1,300.08
504,I230558,4,2,81.32
505,I130124,1,3,900.24
506,I221797,5,3,15.69
507,I154490,1,5,1500.40
508,I159376,5,2,10.46
509,I214545,8,4,46.92
510,I213589,7,2,2100.00
511,I101148,4,4,162.64
512,I186663,6,1,35.84
513,I291062,4,4,162.64
514,I103389,4,1,40.66
515,I140596,4,2,81.32
516,I115322,5,1,5.23
517,I273800,4,2,81.32
518,I384332,4,1,40.66
519,I268628,4,3,121.98
520,I146305,5,2,10.46
521,I648743,2,5,3000.85
522,I148083,4,5,203.30
523,I733806,5,4,20.92
524,I214007,6,4,143.36
525,I480974,5,2,10.46
526,I126095,5,5,26.15
527,I100033,5,4,20.92
528,I265860,5,4,20.92
529,I512570,8,4,46.92
530,I118757,1,1,300.08
531,I313516,3,4,60.60
532,I223795,1,3,900.24
533,I254341,5,2,10.46
534,I273435,5,4,20.92
535,I127616,3,5,75.75
536,I893043,1,5,1500.40
537,I295712,5,2,10.46
538,I162565,1,2,600.16
539,I300520,3,3,45.45
540,I149473,1,3,900.24
541,I936118,5,3,15.69
542,I242648,5,1,5.23
543,I725938,4,3,121.98
544,I299480,2,2,1200.34
545,I134272,6,1,35.84
546,I128518,2,1,600.17
547,I293208,2,1,600.17
548,I332003,4,2,81.32
549,I251779,6,5,179.20
550,I334155,3,3,45.45
551,I724379,1,1,300.08
552,I843249,4,4,162.64
553,I292746,1,5,1500.40
554,I230701,1,2,600.16
555,I230983,1,1,300.08
556,I313187,8,4,46.92
557,I206607,1,1,300.08
558,I323928,4,3,121.98
559,I374693,5,2,10.46
560,I318521,1,5,1500.40
561,I222827,1,3,900.24
562,I649554,6,3,107.52
563,I111055,7,1,1050.00
564,I570709,2,1,600.17
565,I251307,2,1,600.17
566,I117277,1,1,300.08
567,I240824,1,5,1500.40
568,I135134,4,1,40.66
569,I222401,5,5,26.15
570,I263185,1,5,1500.40
571,I311849,7,5,5250.00
572,I137332,2,4,2400.68
573,I319596,7,1,1050.00
574,I632642,8,5,58.65
575,I127930,1,1,300.08
576,I258931,4,3,121.98
577,I230411,4,5,203.30
578,I136610,4,4,162.64
579,I234673,5,4,20.92
580,I138615,1,5,1500.40
581,I116541,6,2,71.68
582,I332971,2,4,2400.68
583,I786653,2,1,600.17
584,I115338,1,3,900.24
585,I201131,1,1,300.08
586,I328046,4,3,121.98
587,I153790,4,1,40.66
588,I251311,2,4,2400.68
589,I326582,1,3,900.24
590,I474661,4,5,203.30
591,I160638,1,2,600.16
592,I437948,5,5,26.15
593,I282321,5,1,5.23
594,I707747,8,5,58.65
595,I158486,5,3,15.69
596,I224933,4,2,81.32
597,I164873,3,4,60.60
598,I325555,7,4,4200.00
599,I325396,5,5,26.15
600,I280155,6,5,179.20
601,I156562,4,4,162.64
602,I332361,1,3,900.24
603,I317628,5,3,15.69
604,I907952,1,2,600.16
605,I281621,5,4,20.92
606,I289841,5,1,5.23
607,I335087,3,5,75.75
608,I239889,1,1,300.08
609,I742907,1,1,300.08
610,I271714,6,1,35.84
611,I457421,4,4,162.64
612,I246390,1,4,1200.32
613,I179338,2,2,1200.34
614,I254528,4,4,162.64
615,I299925,1,2,600.16
616,I321373,5,5,26.15
617,I966684,6,4,143.36
618,I726807,1,4,1200.32
619,I333100,1,5,1500.40
620,I207643,6,1,35.84
621,I647207,1,2,600.16
622,I330964,2,2,1200.34
623,I237324,6,1,35.84
624,I269825,5,3,15.69
625,I305024,1,4,1200.32
626,I223568,6,2,71.68
627,I194268,8,5,58.65
628,I155448,2,1,600.17
629,I205336,4,1,40.66
630,I171351,8,1,11.73
631,I249223,1,2,600.16
632,I258001,4,4,162.64
633,I231029,1,4,1200.32
634,I163202,1,3,900.24
635,I169427,1,5,1500.40
636,I737161,5,4,20.92
637,I225327,4,2,81.32
638,I159355,5,4,20.92
639,I280408,1,1,300.08
640,I323785,6,2,71.68
641,I257286,4,1,40.66
642,I331405,1,3,900.24
643,I306957,1,2,600.16
644,I147079,1,4,1200.32
645,I829259,4,4,162.64
646,I296251,4,2,81.32
647,I808238,2,2,1200.34
648,I891465,1,1,300.08
649,I563052,4,4,162.64
650,I130443,2,1,600.17
651,I241690,8,2,23.46
652,I643231,6,4,143.36
653,I295337,2,4,2400.68
654,I265980,3,1,15.15
655,I293153,5,2,10.46
656,I193148,1,4,1200.32
657,I318625,7,5,5250.00
658,I142245,4,3,121.98
659,I205906,1,4,1200.32
660,I277462,1,2,600.16
661,I753100,5,1,5.23
662,I610847,1,4,1200.32
663,I295181,5,2,10.46
664,I198308,5,5,26.15
665,I180570,2,5,3000.85
666,I260475,1,5,1500.40
667,I251024,5,2,10.46
668,I302151,7,4,4200.00
669,I145917,4,5,203.30
670,I254721,1,5,1500.40
671,I103120,2,4,2400.68
672,I173288,5,5,26.15
673,I279088,7,3,3150.00
674,I190414,5,3,15.69
675,I613381,1,1,300.08
676,I107697,6,1,35.84
677,I193600,1,4,1200.32
678,I165090,1,3,900.24
679,I260728,6,5,179.20
680,I164219,6,4,143.36
681,I318282,8,2,23.46
682,I212598,5,3,15.69
683,I212833,4,2,81.32
684,I326146,1,2,600.16
685,I169684,5,1,5.23
686,I462436,4,3,121.98
687,I940151,5,3,15.69
688,I210603,4,4,162.64
689,I174942,1,3,900.24
690,I163206,5,3,15.69
691,I266121,1,4,1200.32
692,I454912,6,2,71.68
693,I831916,1,5,1500.40
694,I180372,8,5,58.65
695,I466698,2,3,1800.51
696,I119678,7,4,4200.00
697,I296369,5,1,5.23
698,I133116,1,5,1500.40
699,I165625,2,4,2400.68
700,I333045,1,1,300.08
701,I131869,5,1,5.23
702,I168101,8,3,35.19
703,I713258,1,3,900.24
704,I144171,1,1,300.08
705,I191531,2,3,1800.51
706,I165583,1,1,300.08
707,I210803,1,4,1200.32
708,I209258,4,5,203.30
709,I169548,1,5,1500.40
710,I140693,1,2,600.16
711,I172509,2,3,1800.51
712,I301205,5,4,20.92
713,I338366,2,5,3000.85
714,I108742,1,5,1500.40
715,I261374,6,2,71.68
716,I860717,1,2,600.16
717,I295440,5,2,10.46
718,I273820,5,4,20.92
719,I279919,1,2,600.16
720,I190006,4,1,40.66
721,I156252,6,4,143.36
722,I183583,4,1,40.66
723,I258930,2,4,2400.68
724,I651105,5,1,5.23
725,I135098,1,5,1500.40
726,I187453,2,3,1800.51
727,I176625,1,4,1200.32
728,I289516,1,5,1500.40
729,I188382,1,1,300.08
730,I749173,2,4,2400.68
731,I752413,1,3,900.24
732,I254886,7,2,2100.00
733,I323478,5,2,10.46
734,I178637,1,1,300.08
735,I840591,1,2,600.16
736,I251184,4,5,203.30
737,I929854,2,1,600.17
738,I274883,5,1,5.23
739,I338411,3,5,75.75
740,I301433,1,5,1500.40
741,I218234,6,3,107.52
742,I716822,5,5,26.15
743,I174219,1,4,1200.32
744,I278299,5,3,15.69
745,I267714,1,4,1200.32
746,I670822,5,2,10.46
747,I339508,1,3,900.24
748,I268823,1,1,300.08
749,I217906,1,3,900.24
750,I846907,1,5,1500.40
751,I176751,2,5,3000.85
752,I325587,5,1,5.23
753,I112845,4,5,203.30
754,I158003,1,2,600.16
755,I276368,6,4,143.36
756,I206246,5,5,26.15
757,I195587,5,2,10.46
758,I213354,7,5,5250.00
759,I583185,4,5,203.30
760,I236100,5,3,15.69
761,I298339,5,1,5.23
762,I280823,7,3,3150.00
763,I863565,4,5,203.30
764,I243784,6,5,179.20
765,I810580,6,1,35.84
766,I297768,1,4,1200.32
767,I231514,2,1,600.17
768,I200720,5,1,5.23
769,I171758,4,4,162.64
770,I148039,7,4,4200.00
771,I943432,1,2,600.16
772,I215019,4,5,203.30
773,I204541,6,4,143.36
774,I528108,3,1,15.15
775,I163618,1,2,600.16
776,I255698,2,4,2400.68
777,I328430,6,1,35.84
778,I561353,6,3,107.52
779,I101472,1,4,1200.32
780,I109605,4,3,121.98
781,I143755,8,4,46.92
782,I335633,1,3,900.24
783,I212054,1,1,300.08
784,I142204,4,1,40.66
785,I310814,4,4,162.64
786,I202865,3,5,75.75
787,I128008,1,5,1500.40
788,I244711,1,4,1200.32
789,I202868,1,2,600.16
790,I229755,6,5,179.20
791,I551504,2,1,600.17
792,I357584,1,3,900.24
793,I572568,2,4,2400.68
794,I834928,1,5,1500.40
795,I301887,7,4,4200.00
796,I722991,1,5,1500.40
797,I121934,7,1,1050.00
798,I161868,5,5,26.15
799,I227368,1,2,600.16
800,I283492,6,1,35.84
801,I236127,1,3,900.24
802,I259412,6,4,143.36
803,I155577,4,4,162.64
804,I311797,5,2,10.46
805,I242848,1,3,900.24
806,I448498,1,1,300.08
807,I310335,1,4,1200.32
808,I925190,1,5,1500.40
809,I777286,4,2,81.32
810,I126253,1,5,1500.40
811,I287899,1,5,1500.40
812,I170920,5,3,15.69
813,I270096,5,2,10.46
814,I557757,5,1,5.23
815,I377607,8,5,58.65
816,I256639,4,4,162.64
817,I322886,7,3,3150.00
818,I248770,1,1,300.08
819,I128121,7,4,4200.00
820,I326712,1,2,600.16
821,I159865,6,3,107.52
822,I234223,4,4,162.64
823,I616042,5,3,15.69
824,I148642,1,1,300.08
825,I103072,4,4,162.64
826,I497958,8,5,58.65
827,I236668,5,3,15.69
828,I836239,4,4,162.64
829,I249682,1,3,900.24
830,I140825,4,2,81.32
831,I742965,6,3,107.52
832,I291579,1,1,300.08
833,I196493,2,4,2400.68
834,I185316,8,1,11.73
835,I212235,5,1,5.23
836,I219127,3,1,15.15
837,I971862,1,3,900.24
838,I108180,5,1,5.23
839,I321337,1,2,600.16
840,I274610,8,3,35.19
841,I678477,5,3,15.69
842,I326054,3,3,45.45
843,I284282,1,2,600.16
844,I256046,5,3,15.69
845,I486233,1,3,900.24
846,I237899,4,4,162.64
847,I102481,2,4,2400.68
848,I198156,5,4,20.92
849,I411189,5,3,15.69
850,I528396,1,1,300.08
851,I225178,1,5,1500.40
852,I103131,6,4,143.36
853,I179619,6,3,107.52
854,I229909,1,5,1500.40
855,I472142,2,1,600.17
856,I184289,6,2,71.68
857,I340111,2,4,2400.68
858,I244311,4,1,40.66
859,I208028,7,5,5250.00
860,I201268,8,1,11.73
861,I406982,1,2,600.16
862,I259335,4,2,81.32
863,I278596,1,3,900.24
864,I156920,1,3,900.24
865,I189797,1,3,900.24
866,I283099,5,1,5.23
867,I108662,4,3,121.98
868,I443008,1,3,900.24
869,I756144,1,2,600.16
870,I148225,7,4,4200.00
871,I187159,2,5,3000.85
872,I265543,4,2,81.32
873,I169324,5,3,15.69
874,I186033,3,5,75.75
875,I307337,2,3,1800.51
876,I988233,5,2,10.46
877,I713320,7,1,1050.00
878,I187305,2,3,1800.51
879,I193430,1,4,1200.32
880,I202249,8,4,46.92
881,I910927,1,3,900.24
882,I602106,2,5,3000.85
883,I289972,5,5,26.15
884,I109018,6,3,107.52
885,I333269,2,3,1800.51
886,I586154,5,1,5.23
887,I264725,6,1,35.84
888,I291281,7,1,1050.00
889,I144506,1,4,1200.32
890,I205315,4,5,203.30
891,I211823,1,5,1500.40
892,I160370,1,1,300.08
893,I526871,5,2,10.46
894,I275001,6,4,143.36
895,I129187,4,2,81.32
896,I292336,1,4,1200.32
897,I122881,4,5,203.30
898,I240283,2,4,2400.68
899,I204229,4,1,40.66
900,I110467,1,1,300.08
901,I316054,1,5,1500.40
902,I203525,1,1,300.08
903,I186437,7,5,5250.00
904,I136489,1,2,600.16
905,I125636,3,1,15.15
906,I310984,4,2,81.32
907,I329288,5,3,15.69
908,I278935,6,2,71.68
909,I243503,6,1,35.84
910,I214040,2,4,2400.68
911,I135338,1,1,300.08
912,I103926,4,2,81.32
913,I200763,4,2,81.32
914,I210726,7,5,5250.00
915,I140666,5,3,15.69
916,I328455,7,5,5250.00
917,I289097,4,5,203.30
918,I173201,5,4,20.92
919,I203880,6,5,179.20
920,I695490,2,5,3000.85
921,I788206,4,2,81.32
922,I935474,4,2,81.32
923,I308383,4,3,121.98
924,I335039,8,1,11.73
925,I375865,1,3,900.24
926,I300065,7,4,4200.00
927,I123471,5,5,26.15
928,I259780,1,5,1500.40
929,I276581,4,1,40.66
930,I187144,6,1,35.84
931,I200005,5,1,5.23
932,I246910,3,2,30.30
933,I274783,1,1,300.08
934,I258186,6,4,143.36
935,I149861,1,4,1200.32
936,I678783,5,5,26.15
937,I283199,1,5,1500.40
938,I262240,4,1,40.66
939,I255066,2,2,1200.34
940,I110699,1,4,1200.32
941,I172592,2,3,1800.51
942,I197048,1,1,300.08
943,I846448,4,1,40.66
944,I255738,5,3,15.69
945,I309846,1,3,900.24
946,I230210,4,1,40.66
947,I338832,1,5,1500.40
948,I701994,5,1,5.23
949,I116064,2,3,1800.51
950,I233553,4,3,121.98
951,I334498,4,3,121.98
952,I210221,3,3,45.45
953,I107367,1,3,900.24
954,I240053,4,1,40.66
955,I198312,1,3,900.24
956,I111670,1,2,600.16
957,I631073,2,5,3000.85
958,I304483,6,5,179.20
959,I110493,3,2,30.30
960,I224918,5,5,26.15
961,I176867,1,2,600.16
962,I225893,8,4,46.92
963,I462596,5,5,26.15
964,I990095,2,2,1200.34
965,I112841,1,2,600.16
966,I177064,5,4,20.92
967,I293058,1,3,900.24
968,I714982,4,2,81.32
969,I259581,1,4,1200.32
970,I272468,1,5,1500.40
971,I773945,4,4,162.64
972,I488800,5,2,10.46
973,I539167,6,3,107.52
974,I614933,1,1,300.08
975,I307328,1,1,300.08
976,I195795,5,2,10.46
977,I316501,2,4,2400.68
978,I105482,1,5,1500.40
979,I269076,6,1,35.84
980,I235877,6,5,179.20
981,I323413,1,1,300.08
982,I404845,3,1,15.15
983,I249846,5,2,10.46
984,I110354,1,5,1500.40
985,I175688,4,5,203.30
986,I467431,6,3,107.52
987,I175461,5,3,15.69
988,I157207,1,1,300.08
989,I193060,6,5,179.20
990,I255430,4,3,121.98
991,I165932,4,3,121.98
992,I123656,1,2,600.16
993,I338093,1,4,1200.32
994,I543510,7,1,1050.00
995,I177444,1,3,900.24
996,I248527,2,1,600.17
997,I103907,1,4,1200.32
998,I109766,5,5,26.15
999,I195981,2,1,600.17
1000,I583553,8,3,35.19
